srcStateName,srcYear,Base Year - 2011-12,Price type,Net State Domestic Product ( NSDP ) at factor cost for the base year 2011-12,YearCode,Year
ORISSA,2013-14,2011-12,Current Price,244944.633,2013,"Financial Year (Apr - Mar), 2013"
PUNJAB,2013-14,2011-12,Current Price,274090.14,2013,"Financial Year (Apr - Mar), 2013"
RAJASTHAN,2013-14,2011-12,Current Price,466553.58,2013,"Financial Year (Apr - Mar), 2013"
SIKKIM,2013-14,2011-12,Current Price,11657.93,2013,"Financial Year (Apr - Mar), 2013"
TAMIL NADU,2013-14,2011-12,Current Price,778123.9,2013,"Financial Year (Apr - Mar), 2013"
TRIPURA,2013-14,2011-12,Current Price,22775.55,2013,"Financial Year (Apr - Mar), 2013"
UTTAR PRADESH,2013-14,2011-12,Current Price,779033.67,2013,"Financial Year (Apr - Mar), 2013"
UTTARAKHAND,2013-14,2011-12,Current Price,122244.0,2013,"Financial Year (Apr - Mar), 2013"
WEST BENGAL,2013-14,2011-12,Current Price,583710.0,2013,"Financial Year (Apr - Mar), 2013"
ANDAMAN & NICOBAR ISLANDS,2013-14,2011-12,Current Price,4303.5954,2013,"Financial Year (Apr - Mar), 2013"
CHANDIGARH,2013-14,2011-12,Current Price,22099.82,2013,"Financial Year (Apr - Mar), 2013"
DELHI,2013-14,2011-12,Current Price,346812.0315,2013,"Financial Year (Apr - Mar), 2013"
PUDUCHERRY,2013-14,2011-12,Current Price,17096.52,2013,"Financial Year (Apr - Mar), 2013"
TELANGANA,2013-14,2011-12,Current Price,378430.7,2013,"Financial Year (Apr - Mar), 2013"
ANDHRA PRADESH,2013-14,2011-12,Constant Price,328709.52,2013,"Financial Year (Apr - Mar), 2013"
ARUNACHAL PRADESH,2013-14,2011-12,Constant Price,10966.5,2013,"Financial Year (Apr - Mar), 2013"
ASSAM,2013-14,2011-12,Constant Price,130140.63,2013,"Financial Year (Apr - Mar), 2013"
BIHAR,2013-14,2011-12,Constant Price,237927.2376,2013,"Financial Year (Apr - Mar), 2013"
GOA,2013-14,2011-12,Constant Price,24589.1023,2013,"Financial Year (Apr - Mar), 2013"
GUJARAT,2013-14,2011-12,Constant Price,558696.4326,2013,"Financial Year (Apr - Mar), 2013"
HARYANA,2013-14,2011-12,Constant Price,283483.2399,2013,"Financial Year (Apr - Mar), 2013"
HIMACHAL PRADESH,2013-14,2011-12,Constant Price,65840.8323,2013,"Financial Year (Apr - Mar), 2013"
JAMMU & KASHMIR,2013-14,2011-12,Constant Price,66155.8264,2013,"Financial Year (Apr - Mar), 2013"
JHARKHAND,2013-14,2011-12,Constant Price,136516.86,2013,"Financial Year (Apr - Mar), 2013"
KARNATAKA,2013-14,2011-12,Constant Price,577481.6,2013,"Financial Year (Apr - Mar), 2013"
KERALA,2013-14,2011-12,Constant Price,333576.9131,2013,"Financial Year (Apr - Mar), 2013"
MADHYA PRADESH,2013-14,2011-12,Constant Price,302791.0,2013,"Financial Year (Apr - Mar), 2013"
CHHATTISGARH,2013-14,2011-12,Constant Price,153469.39,2013,"Financial Year (Apr - Mar), 2013"
MAHARASHTRA,2013-14,2011-12,Constant Price,1112364.27,2013,"Financial Year (Apr - Mar), 2013"
MANIPUR,2013-14,2011-12,Constant Price,12223.6023,2013,"Financial Year (Apr - Mar), 2013"
MEGHALAYA,2013-14,2011-12,Constant Price,17458.3149,2013,"Financial Year (Apr - Mar), 2013"
MIZORAM,2013-14,2011-12,Constant Price,7684.6957,2013,"Financial Year (Apr - Mar), 2013"
NAGALAND,2013-14,2011-12,Constant Price,11758.0153,2013,"Financial Year (Apr - Mar), 2013"
ORISSA,2013-14,2011-12,Constant Price,219792.1063,2013,"Financial Year (Apr - Mar), 2013"
PUNJAB,2013-14,2011-12,Constant Price,247316.49,2013,"Financial Year (Apr - Mar), 2013"
RAJASTHAN,2013-14,2011-12,Constant Price,409832.61,2013,"Financial Year (Apr - Mar), 2013"
SIKKIM,2013-14,2011-12,Constant Price,10128.38,2013,"Financial Year (Apr - Mar), 2013"
TAMIL NADU,2013-14,2011-12,Constant Price,675124.09,2013,"Financial Year (Apr - Mar), 2013"
UTTAR PRADESH,2013-14,2011-12,Constant Price,659730.37,2013,"Financial Year (Apr - Mar), 2013"
UTTARAKHAND,2013-14,2011-12,Constant Price,109140.0,2013,"Financial Year (Apr - Mar), 2013"
WEST BENGAL,2013-14,2011-12,Constant Price,483340.0,2013,"Financial Year (Apr - Mar), 2013"
ANDAMAN & NICOBAR ISLANDS,2013-14,2011-12,Constant Price,3825.1106,2013,"Financial Year (Apr - Mar), 2013"
CHANDIGARH,2013-14,2011-12,Constant Price,19640.73,2013,"Financial Year (Apr - Mar), 2013"
DELHI,2013-14,2011-12,Constant Price,305243.8979,2013,"Financial Year (Apr - Mar), 2013"
PUDUCHERRY,2013-14,2011-12,Constant Price,14913.4,2013,"Financial Year (Apr - Mar), 2013"
TELANGANA,2013-14,2011-12,Constant Price,323931.66,2013,"Financial Year (Apr - Mar), 2013"
UTTARAKHAND,2014-15,2011-12,Constant Price,116673.0,2014,"Financial Year (Apr - Mar), 2014"
JAMMU & KASHMIR,2014-15,2011-12,Current Price,75789.2622,2014,"Financial Year (Apr - Mar), 2014"
UTTARAKHAND,2014-15,2011-12,Current Price,132837.0,2014,"Financial Year (Apr - Mar), 2014"
PUDUCHERRY,2014-15,2011-12,Constant Price,13664.4125,2014,"Financial Year (Apr - Mar), 2014"
NAGALAND,2014-15,2011-12,Constant Price,12304.8591,2014,"Financial Year (Apr - Mar), 2014"
ASSAM,2014-15,2011-12,Constant Price,136812.287,2014,"Financial Year (Apr - Mar), 2014"
HIMACHAL PRADESH,2014-15,2011-12,Current Price,80904.5251,2014,"Financial Year (Apr - Mar), 2014"
MIZORAM,2014-15,2011-12,Constant Price,9800.96,2014,"Financial Year (Apr - Mar), 2014"
TAMIL NADU,2014-15,2011-12,Current Price,867515.38,2014,"Financial Year (Apr - Mar), 2014"
UTTAR PRADESH,2014-15,2011-12,Constant Price,676190.893,2014,"Financial Year (Apr - Mar), 2014"
CHHATTISGARH,2014-15,2011-12,Current Price,185263.19,2014,"Financial Year (Apr - Mar), 2014"
GOA,2014-15,2011-12,Constant Price,32737.1137,2014,"Financial Year (Apr - Mar), 2014"
WEST BENGAL,2014-15,2011-12,Current Price,612211.0,2014,"Financial Year (Apr - Mar), 2014"
GOA,2014-15,2011-12,Current Price,38609.4002,2014,"Financial Year (Apr - Mar), 2014"
MEGHALAYA,2014-15,2011-12,Constant Price,16886.9941,2014,"Financial Year (Apr - Mar), 2014"
TRIPURA,2014-15,2011-12,Constant Price,23942.0,2014,"Financial Year (Apr - Mar), 2014"
MANIPUR,2014-15,2011-12,Constant Price,13395.65,2014,"Financial Year (Apr - Mar), 2014"
ANDAMAN & NICOBAR ISLANDS,2014-15,2011-12,Constant Price,4213.599,2014,"Financial Year (Apr - Mar), 2014"
MAHARASHTRA,2014-15,2011-12,Constant Price,1178550.772,2014,"Financial Year (Apr - Mar), 2014"
BIHAR,2014-15,2011-12,Constant Price,245674.4086,2014,"Financial Year (Apr - Mar), 2014"
MIZORAM,2014-15,2011-12,Current Price,11901.55,2014,"Financial Year (Apr - Mar), 2014"
ASSAM,2014-15,2011-12,Current Price,161419.8589,2014,"Financial Year (Apr - Mar), 2014"
ANDAMAN & NICOBAR ISLANDS,2014-15,2011-12,Current Price,4987.027,2014,"Financial Year (Apr - Mar), 2014"
