srcStateName,Base Year - 2011-12,srcYear,Price type,Per capita net state domestic product for the base year 2011-12,YearCode,Year
MANIPUR,2011-12,2013-14,Current Prices,47797.50,2013,"Financial Year (Apr - Mar), 2013"
MAHARASHTRA,2011-12,2013-14,Constant Prices,109596.67,2013,"Financial Year (Apr - Mar), 2013"
RAJASTHAN,2011-12,2013-14,Current Prices,69480.00,2013,"Financial Year (Apr - Mar), 2013"
BIHAR,2011-12,2013-14,Current Prices,26948.45,2013,"Financial Year (Apr - Mar), 2013"
ARUNACHAL PRADESH,2011-12,2013-14,Constant Prices,78996.34,2013,"Financial Year (Apr - Mar), 2013"
HARYANA,2011-12,2013-14,Current Prices,137769.65,2013,"Financial Year (Apr - Mar), 2013"
CHANDIGARH,2011-12,2013-14,Constant Prices,180614.86,2013,"Financial Year (Apr - Mar), 2013"
PUDUCHERRY,2011-12,2013-14,Current Prices,148147.04,2013,"Financial Year (Apr - Mar), 2013"
UTTARAKHAND,2011-12,2013-14,Current Prices,126356.00,2013,"Financial Year (Apr - Mar), 2013"
KARNATAKA,2011-12,2013-14,Constant Prices,101857.51,2013,"Financial Year (Apr - Mar), 2013"
ORISSA,2011-12,2013-14,Constant Prices,54762.01,2013,"Financial Year (Apr - Mar), 2013"
CHHATTISGARH,2011-12,2013-14,Current Prices,69880.37,2013,"Financial Year (Apr - Mar), 2013"
UTTARAKHAND,2011-12,2013-14,Constant Prices,112900.29,2013,"Financial Year (Apr - Mar), 2013"
JHARKHAND,2011-12,2013-14,Constant Prices,43779.24,2013,"Financial Year (Apr - Mar), 2013"
TRIPURA,2011-12,2013-14,Current Prices,61815.00,2013,"Financial Year (Apr - Mar), 2013"
ASSAM,2011-12,2013-14,Current Prices,49733.89,2013,"Financial Year (Apr - Mar), 2013"
MANIPUR,2011-12,2013-14,Constant Prices,41441.45,2013,"Financial Year (Apr - Mar), 2013"
GUJARAT,2011-12,2013-14,Current Prices,113138.65,2013,"Financial Year (Apr - Mar), 2013"
NAGALAND,2011-12,2013-14,Current Prices,71510.36,2013,"Financial Year (Apr - Mar), 2013"
UTTAR PRADESH,2011-12,2013-14,Current Prices,40124.01,2013,"Financial Year (Apr - Mar), 2013"
TAMIL NADU,2011-12,2013-14,Current Prices,116960.00,2013,"Financial Year (Apr - Mar), 2013"
JHARKHAND,2011-12,2013-14,Current Prices,50006.00,2013,"Financial Year (Apr - Mar), 2013"
MADHYA PRADESH,2011-12,2013-14,Current Prices,51849.00,2013,"Financial Year (Apr - Mar), 2013"
PUNJAB,2011-12,2013-14,Current Prices,103831.00,2013,"Financial Year (Apr - Mar), 2013"
HIMACHAL PRADESH,2011-12,2013-14,Current Prices,114094.75,2013,"Financial Year (Apr - Mar), 2013"
NAGALAND,2011-12,2013-14,Constant Prices,58619.35,2013,"Financial Year (Apr - Mar), 2013"
ARUNACHAL PRADESH,2011-12,2013-14,Current Prices,94135.00,2013,"Financial Year (Apr - Mar), 2013"
WEST BENGAL,2011-12,2013-14,Current Prices,65932.00,2013,"Financial Year (Apr - Mar), 2013"
KARNATAKA,2011-12,2013-14,Current Prices,118829.33,2013,"Financial Year (Apr - Mar), 2013"
GOA,2011-12,2013-14,Constant Prices,188357.59,2013,"Financial Year (Apr - Mar), 2013"
RAJASTHAN,2011-12,2013-14,Constant Prices,61053.00,2013,"Financial Year (Apr - Mar), 2013"
TRIPURA,2011-12,2013-14,Constant Prices,54645.00,2013,"Financial Year (Apr - Mar), 2013"
HIMACHAL PRADESH,2011-12,2013-14,Constant Prices,98815.55,2013,"Financial Year (Apr - Mar), 2013"
DELHI,2011-12,2013-14,Constant Prices,200702.27,2013,"Financial Year (Apr - Mar), 2013"
ORISSA,2011-12,2013-14,Current Prices,61305.47,2013,"Financial Year (Apr - Mar), 2013"
CHANDIGARH,2011-12,2013-14,Current Prices,203356.34,2013,"Financial Year (Apr - Mar), 2013"
JAMMU & KASHMIR,2011-12,2013-14,Current Prices,61108.45,2013,"Financial Year (Apr - Mar), 2013"
WEST BENGAL,2011-12,2013-14,Constant Prices,53811.00,2013,"Financial Year (Apr - Mar), 2013"
MAHARASHTRA,2011-12,2013-14,Current Prices,125261.13,2013,"Financial Year (Apr - Mar), 2013"
GOA,2011-12,2013-14,Current Prices,215776.33,2013,"Financial Year (Apr - Mar), 2013"
UTTAR PRADESH,2011-12,2013-14,Constant Prices,34043.71,2013,"Financial Year (Apr - Mar), 2013"
ANDAMAN & NICOBAR ISLANDS,2011-12,2013-14,Current Prices,111087.00,2013,"Financial Year (Apr - Mar), 2013"
PUDUCHERRY,2011-12,2013-14,Constant Prices,129127.42,2013,"Financial Year (Apr - Mar), 2013"
MADHYA PRADESH,2011-12,2013-14,Constant Prices,42548.38,2013,"Financial Year (Apr - Mar), 2013"
MIZORAM,2011-12,2013-14,Current Prices,77584.11,2013,"Financial Year (Apr - Mar), 2013"
MEGHALAYA,2011-12,2013-14,Constant Prices,58681.18,2013,"Financial Year (Apr - Mar), 2013"
PUNJAB,2011-12,2013-14,Constant Prices,93238.00,2013,"Financial Year (Apr - Mar), 2013"
KERALA,2011-12,2013-14,Constant Prices,107845.94,2013,"Financial Year (Apr - Mar), 2013"
SIKKIM,2011-12,2013-14,Constant Prices,168897.00,2013,"Financial Year (Apr - Mar), 2013"
GUJARAT,2011-12,2013-14,Constant Prices,102588.97,2013,"Financial Year (Apr - Mar), 2013"
HARYANA,2011-12,2013-14,Constant Prices,119791.25,2013,"Financial Year (Apr - Mar), 2013"
JAMMU & KASHMIR,2011-12,2013-14,Constant Prices,54087.74,2013,"Financial Year (Apr - Mar), 2013"
MIZORAM,2011-12,2013-14,Constant Prices,67594.13,2013,"Financial Year (Apr - Mar), 2013"
ASSAM,2011-12,2013-14,Constant Prices,43002.10,2013,"Financial Year (Apr - Mar), 2013"
ASSAM,2011-12,2014-15,Constant Prices,44808.55,2014,"Financial Year (Apr - Mar), 2014"
TAMIL NADU,2011-12,2014-15,Constant Prices,107117.00,2014,"Financial Year (Apr - Mar), 2014"
UTTARAKHAND,2011-12,2014-15,Constant Prices,118978.82,2014,"Financial Year (Apr - Mar), 2014"
TAMIL NADU,2011-12,2014-15,Current Prices,129494.00,2014,"Financial Year (Apr - Mar), 2014"
TRIPURA,2011-12,2014-15,Constant Prices,63992.00,2014,"Financial Year (Apr - Mar), 2014"
TRIPURA,2011-12,2014-15,Current Prices,69857.00,2014,"Financial Year (Apr - Mar), 2014"
UTTAR PRADESH,2011-12,2014-15,Current Prices,42266.51,2014,"Financial Year (Apr - Mar), 2014"
UTTAR PRADESH,2011-12,2014-15,Constant Prices,34583.27,2014,"Financial Year (Apr - Mar), 2014"
ASSAM,2011-12,2014-15,Current Prices,52894.57,2014,"Financial Year (Apr - Mar), 2014"
BIHAR,2011-12,2014-15,Constant Prices,23222.80,2014,"Financial Year (Apr - Mar), 2014"
BIHAR,2011-12,2014-15,Current Prices,28670.62,2014,"Financial Year (Apr - Mar), 2014"
JHARKHAND,2011-12,2014-15,Constant Prices,48781.10,2014,"Financial Year (Apr - Mar), 2014"
PUDUCHERRY,2011-12,2014-15,Current Prices,146920.52,2014,"Financial Year (Apr - Mar), 2014"
JHARKHAND,2011-12,2014-15,Current Prices,57301.00,2014,"Financial Year (Apr - Mar), 2014"
GOA,2011-12,2014-15,Constant Prices,241081.48,2014,"Financial Year (Apr - Mar), 2014"
GOA,2011-12,2014-15,Current Prices,289184.55,2014,"Financial Year (Apr - Mar), 2014"
PUDUCHERRY,2011-12,2014-15,Constant Prices,117101.99,2014,"Financial Year (Apr - Mar), 2014"
GUJARAT,2011-12,2014-15,Constant Prices,111369.95,2014,"Financial Year (Apr - Mar), 2014"
GUJARAT,2011-12,2014-15,Current Prices,127016.59,2014,"Financial Year (Apr - Mar), 2014"
HARYANA,2011-12,2014-15,Constant Prices,125031.60,2014,"Financial Year (Apr - Mar), 2014"
HARYANA,2011-12,2014-15,Current Prices,147382.11,2014,"Financial Year (Apr - Mar), 2014"
DELHI,2011-12,2014-15,Current Prices,247209.05,2014,"Financial Year (Apr - Mar), 2014"
HIMACHAL PRADESH,2011-12,2014-15,Constant Prices,105241.37,2014,"Financial Year (Apr - Mar), 2014"
HIMACHAL PRADESH,2011-12,2014-15,Current Prices,123299.43,2014,"Financial Year (Apr - Mar), 2014"
JAMMU & KASHMIR,2011-12,2014-15,Constant Prices,50724.20,2014,"Financial Year (Apr - Mar), 2014"
DELHI,2011-12,2014-15,Constant Prices,213669.24,2014,"Financial Year (Apr - Mar), 2014"
JAMMU & KASHMIR,2011-12,2014-15,Current Prices,61210.77,2014,"Financial Year (Apr - Mar), 2014"
KARNATAKA,2011-12,2014-15,Constant Prices,105697.29,2014,"Financial Year (Apr - Mar), 2014"
KARNATAKA,2011-12,2014-15,Current Prices,130024.01,2014,"Financial Year (Apr - Mar), 2014"
KERALA,2011-12,2014-15,Constant Prices,112444.44,2014,"Financial Year (Apr - Mar), 2014"
CHANDIGARH,2011-12,2014-15,Current Prices,212594.25,2014,"Financial Year (Apr - Mar), 2014"
KERALA,2011-12,2014-15,Current Prices,135537.49,2014,"Financial Year (Apr - Mar), 2014"
MADHYA PRADESH,2011-12,2014-15,Constant Prices,44026.59,2014,"Financial Year (Apr - Mar), 2014"
ARUNACHAL PRADESH,2011-12,2014-15,Constant Prices,91034.10,2014,"Financial Year (Apr - Mar), 2014"
MADHYA PRADESH,2011-12,2014-15,Current Prices,55678.00,2014,"Financial Year (Apr - Mar), 2014"
CHANDIGARH,2011-12,2014-15,Constant Prices,182866.85,2014,"Financial Year (Apr - Mar), 2014"
CHHATTISGARH,2011-12,2014-15,Constant Prices,61122.32,2014,"Financial Year (Apr - Mar), 2014"
CHHATTISGARH,2011-12,2014-15,Current Prices,72935.96,2014,"Financial Year (Apr - Mar), 2014"
MAHARASHTRA,2011-12,2014-15,Constant Prices,115058.24,2014,"Financial Year (Apr - Mar), 2014"
MAHARASHTRA,2011-12,2014-15,Current Prices,132836.44,2014,"Financial Year (Apr - Mar), 2014"
ANDAMAN & NICOBAR ISLANDS,2011-12,2014-15,Current Prices,126344.00,2014,"Financial Year (Apr - Mar), 2014"
MANIPUR,2011-12,2014-15,Constant Prices,44100.57,2014,"Financial Year (Apr - Mar), 2014"
MANIPUR,2011-12,2014-15,Current Prices,52717.10,2014,"Financial Year (Apr - Mar), 2014"
MEGHALAYA,2011-12,2014-15,Constant Prices,55880.24,2014,"Financial Year (Apr - Mar), 2014"
ANDAMAN & NICOBAR ISLANDS,2011-12,2014-15,Constant Prices,106711.11,2014,"Financial Year (Apr - Mar), 2014"
MEGHALAYA,2011-12,2014-15,Current Prices,64637.51,2014,"Financial Year (Apr - Mar), 2014"
MIZORAM,2011-12,2014-15,Constant Prices,85055.68,2014,"Financial Year (Apr - Mar), 2014"
